call_number,New,add,recordid,record,JSON,Linked Data,lib,lib,lib-ua-collection,lib-manuscript,oac-archives,oac-collections
D-069,TEST,T,alma990023242170403126,record,JSON,LD,,T,,ark:/13030/c86h4k3f/,,ark:/13030/c86h4k3f/
D-070,TEST,T,alma990022665700403126,record,JSON,LD,,T,,ark:/13030/tf3g50053n,,ark:/13030/tf3g50053n/
D-071,skip,,alma990031302430403126,record,JSON,LD,,T,,ark:/13030/c8mg7rs0/,,ark:/13030/c8mg7rs0/
D-071;208,todo,T,990005502590403126,record,JSON,LD,,,,,,ark:/13030/c8mg7rs0/
D-072,TEST,T,,,,,,T,,ark:/13030/c8xp770b/,,ark:/13030/c8xp770b/
D-073,TEST,T,alma990003234300403126,record,JSON,LD,,T,,ark:/13030/c8542pxk/,,ark:/13030/c8542pxk/
D-074,TEST,T,alma990003327510403126,record,JSON,LD,,T,,ark:/13030/c8f191fj/,,ark:/13030/c8f191fj/
D-075,TEST,T,alma990023242130403126,record,JSON,LD,,T,,ark:/13030/kt6h4nf35n/,,ark:/13030/kt6h4nf35n/
D-076,TEST,T,alma990003327480403126,record,JSON,LD,,T,,ark:/13030/c89025vb/,,ark:/13030/c89025vb/
D-077,TEST,T,990006810740403126,record,JSON,LD,,T,,ark:/13030/c89888qt/,,ark:/13030/c89888qt/
D-078,TEST,T,,,,,,T,,ark:/13030/kt9000423g/,,ark:/13030/kt9000423g/
D-079,TEST,T,alma990023242100403126,record,JSON,LD,,T,,ark:/13030/kt8580383c/,,ark:/13030/kt8580383c/
D-080,TEST,T,alma990023244410403126,record,JSON,LD,,T,,ark:/13030/kt7f59r97g,,ark:/13030/kt7f59r97g/
D-081,TEST,T,alma990022574540403126,record,JSON,LD,,T,,ark:/13030/kt8v19q5vb,,ark:/13030/kt8v19q5vb/
D-082,TEST,T,alma990002953640403126,record,JSON,LD,,T,,ark:/13030/kt9779s0k2,,ark:/13030/kt9779s0k2/
D-083,TEST,T,alma990027725350403126,record,JSON,LD,,T,,ark:/13030/kt1s2023w5,,ark:/13030/kt1s2023w5/
D-084,skip,,alma990036962300403126,record,JSON,LD,,T,,ark:/13030/c85h7j0h/,,ark:/13030/c85h7j0h/
D-084;215,todo,T,,,,,,,,,,ark:/13030/c85h7j0h/
D-085,TEST,T,alma990030016460403126,record,JSON,LD,,T,,ark:/13030/c81g0p9z/,,ark:/13030/c81g0p9z/
D-086,TEST,T,alma990022717080403126,record,JSON,LD,,T,,ark:/13030/kt2n39q2qn,,ark:/13030/kt2n39q2qn/
D-087,TEST,T,alma990002366810403126,record,JSON,LD,,T,,,,ark:/13030/c8sj1s02/
D-088,todo,T,alma990004126190403126,record,JSON,LD,,T,,,,
D-089,TEST,T,alma990024188610403126,record,JSON,LD,,T,,ark:/13030/kt1q2nd6fj,,ark:/13030/kt1q2nd6fj/
D-090,TEST,T,alma990006971480403126,record,JSON,LD,,T,,ark:/13030/c8x3506h/,,ark:/13030/c8x3506h/
D-091,TEST,T,alma990003491570403126,record,JSON,LD,,T,,ark:/13030/c8gq711m/,,ark:/13030/c8gq711m/
D-092,TEST,T,990024181270403126,record,JSON,LD,,T,,,,ark:/13030/c8k35ww4/
D-093,TEST,T,,,,,,T,,ark:/13030/c80g3n61/,,ark:/13030/c80g3n61/
D-094,TEST,T,alma990003008550403126,record,JSON,LD,,T,,ark:/13030/c80v8fh8/,,ark:/13030/c80v8fh8/
D-095,TEST,T,alma990003008580403126,record,JSON,LD,,T,,ark:/13030/c8pn97jr/,,ark:/13030/c8pn97jr/
D-096,TEST,T,alma990006837910403126,record,JSON,LD,,T,,ark:/13030/c8x0698g/,,ark:/13030/c8x0698g/
D-097,TEST,T,alma990005502600403126,record,JSON,LD,,T,,ark:/13030/kt929022s1,,ark:/13030/kt929022s1/
D-098,TEST,T,alma990003327380403126,record,JSON,LD,,T,,ark:/13030/kt009nd61f,,ark:/13030/kt009nd61f/
D-099,TEST,T,990024182910403126,record,JSON,LD,,T,,ark:/13030/kt9v19s1t3/,,ark:/13030/kt9v19s1t3/
D-100,TEST,T,,,,,,T,,ark:/13030/c87d2wvj/,,ark:/13030/c87d2wvj/
D-101,TEST,T,alma990024180670403126,record,JSON,LD,,T,,ark:/13030/c8pr7xqj/,,ark:/13030/c8pr7xqj/
D-102,TEST,T,alma990022787220403126,record,JSON,LD,,T,,ark:/13030/kt5z09q2p1,,ark:/13030/kt5z09q2p1/
D-103,TEST,T,alma990024652800403126,record,JSON,LD,,T,,ark:/13030/kt0h4nc67c,,ark:/13030/kt0h4nc67c/
D-104,TEST,T,990024181210403126,record,JSON,LD,,T,,ark:/13030/kt2s2025qv,,ark:/13030/kt2s2025qv/
D-105,TEST,T,,,,,,T,,ark:/13030/kt3q2nc61h,,ark:/13030/kt3q2nc61h/
D-106,TEST,T,alma990003234310403126,record,JSON,LD,,T,,ark:/13030/c89k4d0n/,,ark:/13030/c89k4d0n/
D-107,TEST,T,alma990002519250403126,record,JSON,LD,,T,,ark:/13030/c85t3n8x/,,ark:/13030/c85t3n8x/
D-108,TEST,T,alma990002964620403126,record,JSON,LD,,T,,ark:/13030/kt996nf38t/,,ark:/13030/kt996nf38t/
D-109,skip,,alma990003165310403126,record,JSON,LD,,T,,,,ark:/13030/c8rx9hwx/
D-109;230,todo,T,,,,,,,,,,ark:/13030/c8rx9hwx/
D-110,TEST,T,990024183080403126,record,JSON,LD,,T,,ark:/13030/kt2c6018bj,,ark:/13030/kt2c6018bj/
D-111,TEST,T,990005412260403126,record,JSON,LD,,T,,ark:/13030/kt529026sq,,ark:/13030/kt529026sq/
D-112,TEST,T,,,,,,T,,ark:/13030/c8222wjh/,,ark:/13030/c8222wjh/
D-113,TEST,T,alma990003491540403126,record,JSON,LD,,T,,ark:/13030/kt738nc7g1,,ark:/13030/kt738nc7g1/
D-114,TEST,T,alma990024059470403126,record,JSON,LD,,T,,ark:/13030/c8x92d2m/,,ark:/13030/c8x92d2m/
D-115,TEST,T,alma990023244510403126,record,JSON,LD,,T,,ark:/13030/c8sj1ncb/,,ark:/13030/c8sj1ncb/
D-116,TEST,T,990006725450403126,record,JSON,LD,,T,,ark:/13030/c8ns0wnm/,,ark:/13030/c8ns0wnm/
D-117,TEST,T,,,,,,T,,ark:/13030/c87h1mhd/,,ark:/13030/c87h1mhd/
D-118,TEST,T,alma990024376030403126,record,JSON,LD,,T,,ark:/13030/kt0199q18w,,ark:/13030/kt0199q18w/
D-119,TEST,T,alma990003165300403126,record,JSON,LD,,T,,ark:/13030/c83r0vsp/,,ark:/13030/c83r0vsp/
D-120,TEST,T,alma990030016480403126,record,JSON,LD,,T,,ark:/13030/c8000405/,,ark:/13030/c8000405/
D-121,TEST,T,alma990006725460403126,record,JSON,LD,,T,,ark:/13030/c8tx3h86/,,ark:/13030/c8tx3h86/
D-123,TEST,T,alma990027872950403126,record,JSON,LD,,T,,ark:/13030/c8kw5hzd/,,ark:/13030/c8kw5hzd/
D-124,TEST,T,alma990005502610403126,record,JSON,LD,,T,,ark:/13030/c8m90bkz/,,ark:/13030/c8m90bkz/
D-125,TEST,T,alma990037015260403126,record,JSON,LD,,T,,ark:/13030/c8g44s6z/,,ark:/13030/c8g44s6z/
D-126,todo,T,alma9981114059203126,record,JSON,LD,,,,,,ark:/13030/c86q23pk/
D-127,TEST,T,alma990030016600403126,record,JSON,LD,,T,,,,ark:/13030/c8np2b7b/
D-128,TEST,T,alma990017350540403126,record,JSON,LD,,T,,ark:/13030/c8gh9kvp/,,ark:/13030/c8gh9kvp/
D-129,TEST,T,alma990037015330403126,record,JSON,LD,,T,,ark:/13030/c8bc41gm/,,ark:/13030/c8bc41gm/
D-130,TEST,T,alma990005502620403126,record,JSON,LD,,T,,ark:/13030/c8br8v2g/,,ark:/13030/c8br8v2g/
D-131,TEST,T,alma990003327520403126,record,JSON,LD,,T,,ark:/13030/kt800033r1/,,ark:/13030/kt800033r1/
D-132,TEST,T,alma990003317110403126,record,JSON,LD,,T,,,,ark:/13030/c8w66sjm/
D-133,TEST,T,alma990003317080403126,record,JSON,LD,,T,,,,ark:/13030/c8mg7wsn/
D-134,TEST,T,alma990003317040403126,record,JSON,LD,,T,,ark:/13030/kt8b69q7qz,,ark:/13030/kt8b69q7qz/
D-135,TEST,T,alma990016917960403126,record,JSON,LD,,T,,ark:/13030/c82z17gb/,,ark:/13030/c82z17gb/
D-136,TEST,T,alma990022728990403126,record,JSON,LD,,T,,ark:/13030/kt3v19q2rs,,ark:/13030/kt3v19q2rs/
D-137,TEST,T,alma990031302680403126,record,JSON,LD,,T,,ark:/13030/c8708390/,,ark:/13030/c8708390/
D-138,TEST,T,alma9981078857703126,record,JSON,LD,,T,,,,ark:/13030/c83t9k8r/
D-139,TEST,T,alma990002953620403126,record,JSON,LD,,T,,ark:/13030/kt3h4nc836,,ark:/13030/kt3h4nc836/
D-140,TEST,T,alma990022921960403126,record,JSON,LD,,T,,ark:/13030/kt7r29s0b3/,,ark:/13030/kt7r29s0b3/
D-141,TEST,T,alma990002519240403126,record,JSON,LD,,T,,ark:/13030/c86w9db6/,,ark:/13030/c86w9db6/
D-142,TEST,T,alma990016993520403126,record,JSON,LD,,T,,ark:/13030/c8348npp/,,ark:/13030/c8348npp/
D-143,TEST,T,alma990004779500403126,record,JSON,LD,,T,,ark:/13030/kt6f59r8wh,,ark:/13030/kt6f59r8wh/
D-144,TEST,T,alma990037016840403126,record,JSON,LD,,T,,ark:/13030/c86h4kbk/,,ark:/13030/c86h4kbk/
D-145,TEST,T,alma990006725430403126,record,JSON,LD,,T,,ark:/13030/kt0f59p9nm,,ark:/13030/kt0f59p9nm/
D-146,TEST,T,alma990037062550403126,record,JSON,LD,,T,,ark:/13030/kt2r29q8x9,,ark:/13030/kt2r29q8x9/
D-147,TEST,T,alma9981195254903126,record,JSON,LD,,T,,,,ark:/13030/c8ms40jq/
D-148,TEST,T,alma990007570460403126,record,JSON,LD,,T,,ark:/13030/c82r3tkd/,,ark:/13030/c82r3tkd/
D-149,TEST,T,alma990003491600403126,record,JSON,LD,,T,,ark:/13030/c8377bmq/,,ark:/13030/c8377bmq/
D-150,TEST,T,990005412180403126,record,JSON,LD,,T,,,,ark:/13030/c8c82h30/
D-151,TEST,T,,,,,,T,,ark:/13030/c8xd13z6/,,ark:/13030/c8xd13z6/
D-152,TEST,T,alma990030016510403126,record,JSON,LD,,T,,ark:/13030/c8nv9mhm/,,ark:/13030/c8nv9mhm/
D-153,TEST,T,alma990022880910403126,record,JSON,LD,,T,,ark:/13030/c8j38vv3/,,ark:/13030/c8j38vv3/
D-154,TEST,T,alma990005502640403126,record,JSON,LD,,T,,ark:/13030/kt2489r3h6/,,ark:/13030/kt2489r3h6/
D-155,TEST,T,alma990005412190403126,record,JSON,LD,,T,,ark:/13030/c8db845m/,,ark:/13030/c8db845m/
D-156,TEST,T,990030043800403126,record,JSON,LD,,T,,ark:/13030/kt6m3nf56s,,ark:/13030/kt6m3nf56s/
D-157,TEST,T,,,,,,T,,ark:/13030/kt500036jf,,ark:/13030/kt500036jf/
D-158,TEST,T,alma990003317050403126,record,JSON,LD,,T,,ark:/13030/c8dr2x7w/,,ark:/13030/c8dr2x7w/
D-159,TEST,T,alma990024387730403126,record,JSON,LD,,T,,ark:/13030/kt8k40245n,,ark:/13030/kt8k40245n/
D-160,todo,T,alma9981195056803126,record,JSON,LD,,,,,,ark:/13030/c80007w2/
D-161,TEST,T,alma990005412200403126,record,JSON,LD,,T,,ark:/13030/kt067nf0z8,,ark:/13030/kt067nf0z8/
D-162,TEST,T,alma990006739470403126,record,JSON,LD,,T,,ark:/13030/c8xk8htr/,,ark:/13030/c8xk8htr/
D-163,TEST,T,alma990005502670403126,record,JSON,LD,,T,,ark:/13030/c8gf0v88/,,ark:/13030/c8gf0v88/
D-164,TEST,T,990007570470403126,record,JSON,LD,,T,,ark:/13030/c8st7s4w/,,ark:/13030/c8st7s4w/
D-165,TEST,T,,,,,,T,,ark:/13030/c8p55qsb/,,ark:/13030/c8p55qsb/
D-166,TEST,T,alma990030016540403126,record,JSON,LD,,T,,ark:/13030/c89025hv/,,ark:/13030/c89025hv/
D-167,TEST,T,alma990037334000403126,record,JSON,LD,,T,,ark:/13030/c8bg2r7f/,,ark:/13030/c8bg2r7f/
D-169,TEST,T,alma990022878920403126,record,JSON,LD,,T,,ark:/13030/kt6k4022tw,,ark:/13030/kt6k4022tw/
D-170,TEST,T,alma990022876840403126,record,JSON,LD,,T,,ark:/13030/c8gf0wsd/,,ark:/13030/c8gf0wsd/
D-171,TEST,T,alma990036962320403126,record,JSON,LD,,T,,ark:/13030/c8vt1ts5/,,ark:/13030/c8vt1ts5/
D-172,TEST,T,alma990005502680403126,record,JSON,LD,,T,,ark:/13030/c8bp052g/,,ark:/13030/c8bp052g/
D-173,TEST,T,alma990024183150403126,record,JSON,LD,,T,,,,ark:/13030/c8kw5j8v/
D-174,TEST,T,alma990005502690403126,record,JSON,LD,,T,,ark:/13030/c8z039x5/,,ark:/13030/c8z039x5/
D-175,TEST,T,alma990002964530403126,record,JSON,LD,,T,,ark:/13030/kt4w1037z5/,,ark:/13030/kt4w1037z5/
D-176,TEST,T,alma990005502700403126,record,JSON,LD,,T,,ark:/13030/kt367nf33q/,,ark:/13030/kt367nf33q/
D-177,TEST,T,alma990032071200403126,record,JSON,LD,,T,,ark:/13030/c8vd71pf/,,ark:/13030/c8vd71pf/
D-178,TEST,T,alma990031302610403126,record,JSON,LD,,T,,ark:/13030/kt1h4nf353/,,ark:/13030/kt1h4nf353/
D-179,TEST,T,alma990037606810403126,record,JSON,LD,,T,,ark:/13030/c8ff3vn1/,,ark:/13030/c8ff3vn1/
D-180,TEST,T,alma990037606830403126,record,JSON,LD,,T,,ark:/13030/c89p33xp/,,ark:/13030/c89p33xp/
D-181,TEST,T,alma990005502710403126,record,JSON,LD,,T,,ark:/13030/c85x2c7t/,,ark:/13030/c85x2c7t/
D-182,TEST,T,alma990003234290403126,record,JSON,LD,,T,,ark:/13030/c82809w8/,,ark:/13030/c82809w8/
D-183,TEST,T,alma990005502720403126,record,JSON,LD,,T,,ark:/13030/c8t72k6v/,,ark:/13030/c8t72k6v/
D-184,TEST,T,alma990002964550403126,record,JSON,LD,,T,,ark:/13030/kt7199s00b/,,ark:/13030/kt7199s00b/
D-185,TEST,T,alma990031302640403126,record,JSON,LD,,T,,ark:/13030/c8jq12rs/,,ark:/13030/c8jq12rs/
D-186,TEST,T,alma990037062120403126,record,JSON,LD,,T,,ark:/13030/c89888r8/,,ark:/13030/c89888r8/
D-187,TEST,T,alma990024181050403126,record,JSON,LD,,T,,ark:/13030/c8xg9tfw/,,ark:/13030/c8xg9tfw/
D-188,TEST,T,alma990037606870403126,record,JSON,LD,,T,,,,ark:/13030/c8j67k6x/
D-189,TEST,T,alma990003317020403126,record,JSON,LD,,T,,ark:/13030/kt5s2027b2,,ark:/13030/kt5s2027b2/
D-190,TEST,T,alma990031301940403126,record,JSON,LD,,T,,ark:/13030/c8x068ss/,,ark:/13030/c8x068ss/
D-191,TEST,T,alma990002964640403126,record,JSON,LD,,T,,ark:/13030/kt958028sk,,ark:/13030/kt958028sk/
D-192,TEST,T,990005648790403126,record,JSON,LD,,T,,ark:/13030/kt4w1032bf,,ark:/13030/kt4w1032bf/
D-193,todo,T,,,,,,T,,,,
D-194,TEST,T,990005648790403126,record,JSON,LD,,T,,ark:/13030/kt5p3019xq,,ark:/13030/kt5p3019xq/
D-195,TEST,T,,,,,,T,,ark:/13030/c8ng4sc6/,,ark:/13030/c8ng4sc6/
D-196,TEST,T,alma990003494310403126,record,JSON,LD,,T,,ark:/13030/c8sq92p3/,,ark:/13030/c8sq92p3/
D-197,TEST,T,alma990002964590403126,record,JSON,LD,,T,,ark:/13030/kt4d5nc57g,,ark:/13030/kt4d5nc57g/
D-198,TEST,T,alma990003195750403126,record,JSON,LD,,T,,ark:/13030/c8nz89xx/,,ark:/13030/c8nz89xx/
D-199,TEST,T,alma990003491530403126,record,JSON,LD,,T,,ark:/13030/c8hq41p9/,,ark:/13030/c8hq41p9/
D-200,TEST,T,alma990003491520403126,record,JSON,LD,,T,,ark:/13030/c88917nw/,,ark:/13030/c88917nw/
D-201,TEST,T,alma990037606880403126,record,JSON,LD,,T,,ark:/13030/c8df6tg6/,,ark:/13030/c8df6tg6/
D-202,TEST,T,alma990005273110403126,record,JSON,LD,,T,,ark:/13030/c8xk8hg8/,,ark:/13030/c8xk8hg8/
D-203,TEST,T,alma990002058240403126,record,JSON,LD,,T,,ark:/13030/c88p62tr/,,ark:/13030/c88p62tr/
D-204,TEST,T,alma990031302670403126,record,JSON,LD,,T,,ark:/13030/c85141h2/,,ark:/13030/c85141h2/
D-205,TEST,T,990023943190403126,record,JSON,LD,,T,,ark:/13030/c8st7rrj/,,ark:/13030/c8st7rrj/
D-206,skip,,,,,,,T,,ark:/13030/kt538nd9f9,,ark:/13030/kt538nd9f9/
D-207,todo,T,,,,,,,,,,ark:/13030/tf309nb0bw/
D-208,TEST,T,alma990017350570403126,record,JSON,LD,,T,,ark:/13030/c8zg6vjt/,,ark:/13030/c8zg6vjt/
D-209,TEST,T,990005412230403126,record,JSON,LD,,T,,ark:/13030/c8p2711x/,,ark:/13030/c8p2711x/
D-210,todo,T,,,,,,T,,,,
D-211,TEST,T,alma990023176360403126,record,JSON,LD,,T,,ark:/13030/kt429019js,,ark:/13030/kt429019js/
D-212,TEST,T,alma990037016890403126,record,JSON,LD,,T,,ark:/13030/c8jw8gt1/,,ark:/13030/c8jw8gt1/
D-213,TEST,T,alma990030889430403126,record,JSON,LD,,T,,ark:/13030/c8j9688r/,,ark:/13030/c8j9688r/
D-214,TEST,T,990024193960403126,record,JSON,LD,,T,,ark:/13030/c8dj5hhk/,,ark:/13030/c8dj5hhk/
D-215,TEST,T,,,,,,T,,ark:/13030/kt5d5nc8r0,,ark:/13030/kt5d5nc8r0/
D-216,TEST,T,alma990006810720403126,record,JSON,LD,,T,,ark:/13030/tf9r29p1gk,,ark:/13030/tf9r29p1gk/
D-217,TEST,T,alma990002366860403126,record,JSON,LD,,T,,ark:/13030/c88s4rt9/,,ark:/13030/c88s4rt9/
D-218,TEST,T,alma990037015380403126,record,JSON,LD,,T,,ark:/13030/c8dj5hj1/,,ark:/13030/c8dj5hj1/
D-219,TEST,T,alma990005534860403126,record,JSON,LD,,T,,ark:/13030/c88s4rvr/,,ark:/13030/c88s4rvr/
D-220,TEST,T,alma990037015450403126,record,JSON,LD,,T,,ark:/13030/c851415k/,,ark:/13030/c851415k/
D-221,TEST,T,alma990023245890403126,record,JSON,LD,,T,,ark:/13030/c86q209d/,,ark:/13030/c86q209d/
D-222,TEST,T,alma990006725470403126,record,JSON,LD,,T,,ark:/13030/c82z17kp/,,ark:/13030/c82z17kp/
D-223,TEST,T,alma990005412210403126,record,JSON,LD,,T,,ark:/13030/c8z60r45/,,ark:/13030/c8z60r45/
D-224,TEST,T,,,,,,T,,ark:/13030/c8tf00f8/,,ark:/13030/c8tf00f8/
D-225,TEST,T,alma990022189170403126,record,JSON,LD,,T,,ark:/13030/kt4b69q93c,,ark:/13030/kt4b69q93c/
D-226,TEST,T,alma990027696220403126,record,JSON,LD,,T,,ark:/13030/kt438nd2b2,,ark:/13030/kt438nd2b2/
D-227,TEST,T,alma9981194952503126,record,JSON,LD,,T,,,,ark:/13030/c8qj7q37/
D-228,TEST,T,alma990022659320403126,record,JSON,LD,,T,,ark:/13030/kt1r29q0x4,,ark:/13030/kt1r29q0x4/
D-229,TEST,T,alma990016917970403126,record,JSON,LD,,T,,ark:/13030/kt4199s0f4/,,ark:/13030/kt4199s0f4/
D-230,TEST,T,alma990037109850403126,record,JSON,LD,,T,,ark:/13030/c8j10571/,,ark:/13030/c8j10571/
D-231,TEST,T,alma990003317130403126,record,JSON,LD,,T,,ark:/13030/tf4c6004f0,,ark:/13030/tf4c6004f0/
D-232,TEST,T,alma990003327390403126,record,JSON,LD,,T,,ark:/13030/c8v98b5s/,,ark:/13030/c8v98b5s/
D-233,TEST,T,alma990037109870403126,record,JSON,LD,,T,,ark:/13030/c8qj7kc5/,,ark:/13030/c8qj7kc5/
D-234,TEST,T,alma990002366830403126,record,JSON,LD,,T,,ark:/13030/kt3h4nc8mz,,ark:/13030/kt3h4nc8mz/
D-235,TEST,T,alma990005502730403126,record,JSON,LD,,T,,ark:/13030/c8ks6tm0/,,ark:/13030/c8ks6tm0/
D-236,TEST,T,alma990005412220403126,record,JSON,LD,,T,,ark:/13030/c8mk6fz5/,,ark:/13030/c8mk6fz5/
D-238,TEST,T,alma990022667070403126,record,JSON,LD,,T,,ark:/13030/tf3n39n729,,ark:/13030/tf3n39n729/
D-239,TEST,T,990007598080403126,record,JSON,LD,,T,,ark:/13030/c8zw1nzz/,,ark:/13030/c8zw1nzz/
D-240,skip,,,,,,,T,,ark:/13030/c8th8pxj/,,ark:/13030/c8th8pxj/
D-240;315,todo,T,,,,,,,,,,ark:/13030/c8th8pxj/
D-241,TEST,T,alma990006849940403126,record,JSON,LD,,T,,ark:/13030/c85d8twt/,,ark:/13030/c85d8twt/
D-242,TEST,T,alma990037109900403126,record,JSON,LD,,T,,ark:/13030/c8cn79j1/,,ark:/13030/c8cn79j1/
D-243,TEST,T,alma990036797600403126,record,JSON,LD,,T,,ark:/13030/c80r9rgw/,,ark:/13030/c80r9rgw/
D-244,TEST,T,alma990037278220403126,record,JSON,LD,,T,,ark:/13030/c8x92dhf/,,ark:/13030/c8x92dhf/
D-245,TEST,T,alma990030535350403126,record,JSON,LD,,T,,ark:/13030/c8wd42sc/,,ark:/13030/c8wd42sc/
D-246,TEST,T,alma990005534870403126,record,JSON,LD,,T,,ark:/13030/c8w0981r/,,ark:/13030/c8w0981r/
D-247,TEST,T,alma990004779510403126,record,JSON,LD,,T,,ark:/13030/c8r78hbg/,,ark:/13030/c8r78hbg/
D-248,TEST,T,alma990005502740403126,record,JSON,LD,,T,,ark:/13030/c8mg7rmr/,,ark:/13030/c8mg7rmr/
D-251,TEST,T,alma990022678420403126,record,JSON,LD,,T,,ark:/13030/kt8n39p803,,ark:/13030/kt8n39p803/
D-252,TEST,T,alma990006857250403126,record,JSON,LD,,T,,ark:/13030/c81838ts/,,ark:/13030/c81838ts/
D-254,TEST,T,alma990003491590403126,record,JSON,LD,,T,,ark:/13030/c8mg7r88/,,ark:/13030/c8mg7r88/
D-255,TEST,T,alma990024192810403126,record,JSON,LD,,T,,ark:/13030/c8n018rz/,,ark:/13030/c8n018rz/
D-256,TEST,T,990007558380403126,record,JSON,LD,,T,,ark:/13030/c8wh2s92/,,ark:/13030/c8wh2s92/
D-257,TEST,T,990007558390403126,record,JSON,LD,,T,,ark:/13030/c8rr21j8/,,ark:/13030/c8rr21j8/
D-258,TEST,T,,,,,,T,,ark:/13030/c8n018tv/,,ark:/13030/c8n018tv/
D-259,TEST,T,alma990005273150403126,record,JSON,LD,,T,,ark:/13030/c8h70j3j/,,ark:/13030/c8h70j3j/
D-260,TEST,T,alma990017350530403126,record,JSON,LD,,T,,ark:/13030/c8gt5pxd/,,ark:/13030/c8gt5pxd/
D-261,TEST,T,alma990017350550403126,record,JSON,LD,,T,,ark:/13030/c84q7x8d/,,ark:/13030/c84q7x8d/
D-262,TEST,T,alma990002519260403126,record,JSON,LD,,T,,ark:/13030/c80z75kh/,,ark:/13030/c80z75kh/
D-263,TEST,T,alma990022108210403126,record,JSON,LD,,T,,ark:/13030/c8w66p23/,,ark:/13030/c8w66p23/
D-264,TEST,T,alma990005273120403126,record,JSON,LD,,T,,ark:/13030/c8z03bf9/,,ark:/13030/c8z03bf9/
D-265,skip,,alma990005467850403126,record,JSON,LD,,T,,ark:/13030/c81r6sr2/,,ark:/13030/c81r6sr2/
D-265;336,todo,T,,,,,,,,,,ark:/13030/c81r6sr2/
D-266,TEST,T,alma990005273130403126,record,JSON,LD,,T,,ark:/13030/c8t72kqk/,,ark:/13030/c8t72kqk/
D-267,TEST,T,alma990005273140403126,record,JSON,LD,,T,,ark:/13030/c8pv6nmj/,,ark:/13030/c8pv6nmj/
D-268,TEST,T,alma990005502750403126,record,JSON,LD,,T,,ark:/13030/kt300016z4,,ark:/13030/kt300016z4/
D-269,TEST,T,alma990030156940403126,record,JSON,LD,,T,,ark:/13030/kt1b69r54g,,ark:/13030/kt1b69r54g/
D-270,TEST,T,alma990005502760403126,record,JSON,LD,,T,,,,ark:/13030/c82r3zgq/
D-271,TEST,T,alma990024188670403126,record,JSON,LD,,T,,ark:/13030/c8pg1v1q/,,ark:/13030/c8pg1v1q/
D-272,TEST,T,alma990024183170403126,record,JSON,LD,,T,,ark:/13030/c8nc62zv/,,ark:/13030/c8nc62zv/
D-273,TEST,T,alma990030016570403126,record,JSON,LD,,T,,ark:/13030/c8jq13bt/,,ark:/13030/c8jq13bt/
D-274,TEST,T,alma990005550720403126,record,JSON,LD,,T,,ark:/13030/kt909nf626/,,ark:/13030/kt909nf626/
D-275,TEST,T,alma990022689680403126,record,JSON,LD,,T,,ark:/13030/c8f19204/,,ark:/13030/c8f19204/
D-276,TEST,T,990024430300403126,record,JSON,LD,,T,,ark:/13030/c8tf00k2/,,ark:/13030/c8tf00k2/
D-277,TEST,T,,,,,,T,,ark:/13030/kt7g50214q,,ark:/13030/kt7g50214q/
D-278,TEST,T,alma990007598090403126,record,JSON,LD,,T,,ark:/13030/c8hm5b63/,,ark:/13030/c8hm5b63/
D-280,TEST,T,alma990004790960403126,record,JSON,LD,,T,,ark:/13030/c8cc12x1/,,ark:/13030/c8cc12x1/
D-281,TEST,T,alma9981090727503126,record,JSON,LD,,T,,ark:/13030/c8474h8g/,,ark:/13030/c8474h8g/
D-282,TEST,T,alma990022662370403126,record,JSON,LD,,T,,ark:/13030/kt6p3021mz,,ark:/13030/kt6p3021mz/
D-283,TEST,T,alma9981090727803126,record,JSON,LD,,T,,,,ark:/13030/c880581n/
D-284,TEST,T,alma990003491610403126,record,JSON,LD,,T,,ark:/13030/kt5000376r/,,ark:/13030/kt5000376r/
D-285,TEST,T,alma990005502780403126,record,JSON,LD,,T,,ark:/13030/c8cv4kgc/,,ark:/13030/c8cv4kgc/
D-286,TEST,T,alma990024189060403126,record,JSON,LD,,T,,ark:/13030/c898899v/,,ark:/13030/c898899v/
D-287,TEST,T,alma990005502790403126,record,JSON,LD,,T,,ark:/13030/c85h7jjp/,,ark:/13030/c85h7jjp/
D-288,TEST,T,990029928940403126,record,JSON,LD,,T,,ark:/13030/kt1j49r50q/,,ark:/13030/kt1j49r50q/
D-289,TEST,T,,,,,,T,,ark:/13030/kt0f59r41s,,ark:/13030/kt0f59r41s/
D-290,TEST,T,990024182850403126,record,JSON,LD,,T,,ark:/13030/c81r6ssh/,,ark:/13030/c81r6ssh/
D-291,TEST,T,,,,,,T,,ark:/13030/kt9000308n,,ark:/13030/kt9000308n/
D-292,TEST,T,alma990006837900403126,record,JSON,LD,,T,,ark:/13030/c8x0699x/,,ark:/13030/c8x0699x/
D-293,TEST,T,990029245240403126,record,JSON,LD,,T,,ark:/13030/c8jd4w4p/,,ark:/13030/c8jd4w4p/
D-294,TEST,T,,,,,,T,,ark:/13030/kt6c6027qf,,ark:/13030/kt6c6027qf/
D-295,TEST,T,alma990002953580403126,record,JSON,LD,,T,,ark:/13030/c8833trz/,,ark:/13030/c8833trz/
D-296,TEST,T,alma990027261140403126,record,JSON,LD,,T,,ark:/13030/kt2c60258h,,ark:/13030/kt2c60258h/
D-297,TEST,T,alma990022717130403126,record,JSON,LD,,T,,ark:/13030/kt6d5nc751,,ark:/13030/kt6d5nc751/
D-298,TEST,T,990023337370403126,record,JSON,LD,,T,,ark:/13030/c8vx0j8s/,,ark:/13030/c8vx0j8s/
