,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
269,ark:/13030/c8bk1d35/,English,"University of California, Davis Library, Dept. of Special Collections",Peter Young Matlock Lantern Slides of Latin America,"Matlock, Peter Y. (Peter Young)",D-558,0.4 linear feet,circa 1920-1939,,"Collection consists of 92 black and white lantern slides of the countries Nicaragua, Panama, Colombia, and Chile taken in the 1920s and 1930s by Peter Young Matlock. Peter Young Matlock owned a clothing store in Buffalo, New York until 1976.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,ark:/13030/c8bk1fp6/,English,,Jerome J. Blum Collection,,D-379,,,,World War II correspondence and memorabilia.,,1941-1945,"Blum, Jerome J.",0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,ark:/13030/c8bk1k8g/,English,,Daniel B DeLoach Papers,,MC080,,,,Two carbon copy manuscripts entitled To: National Advisory Commission on Food and Fiber and In re: Natural Law.,,1965-1966,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,ark:/13030/c8gb29xw/,English,,Frank N Decker Papers,,MC080,,,,Two carbon copy manuscripts entitled To: National Advisory Commission on Food and Fiber and In re: Natural Law.,,1965-1966,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,ark:/13030/c8bp052g/,English,,Marian Ury Papers,,D-172,,,,"Class materials, student papers, reprints, and publications.",,1974-1995,"Ury, Marian.",9 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,ark:/13030/c8br8v2g/,English,,Milo B. Williams Papers,,D-130,,,,"Photographs, correspondence, project files and publications dealing with irrigation primarily in California, Peru, Columbia, Egypt, Haiti, Saudi Arabia and Pakistan.",,1900-1950,"Williams, Milo.",4.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,ark:/13030/c8bv7hc1/,Collection materials in English.,,Charles H. and Richard M. Hayden Papers,"Hayden, Charles H. Hayden, Richard M.",MC257,,1839-1871,,"Charles H. Hayden (1827-1919) and Richard M. Hayden (1841-1936) lived in Callahan&#39;s Ranch (now Callahan) in Siskiyou County, California. The small collection contains bills of sale, receipts, and ephemera related to their life and business operations in Callahan&#39;s Ranch, California.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,ark:/13030/c8bv7n2n/,English,"University of California, Davis General Library, Dept. of Special Collections",Ruby Cohn Correspondence,"Cohn, Ruby",MC266,1 folder,1972-1994,,Ruby Cohn was a member of the Comparative Literature and Theater departments at UC Davis from 1972-1992. She was also affiliated with the departments of English and French. Cohn had a particular interest in modern and experimental theater and was a noted scholar on the works of Samuel Beckett. The collection contains one folder of correspondence to and from Ruby Cohn concerning theater and literature.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,ark:/13030/c8bv7pjb/,English,,John L Vohs Collection,,MC113,,,,"Student and faculty activities of the Persian Gulf War teach-in and workshops held at the University of California, Davis.",,1990-1991,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,ark:/13030/c8bz6cwr/,English,,Charles E Satterlee Papers,,MC143,,,,"Business correspondence about the building of Satterlee&#39;s house in Atlantic Highlands, New Jersey.",,1902-1920,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,ark:/13030/c8c24zn7/,English,"University of California, Davis Library, Dept. of Special Collections",Timothy Prout Papers,"Prout, Timothy",D-503,19 linear feet,1971-2003,,"Professor of Evolution and Ecology Timothy Prout&#39;s correspondence, notes, course materials, drafts of papers and book, research materials, and card files.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,ark:/13030/c8c53smc/,English,"University of California, Davis Library, Dept. of Special Collections",Agricultural Appropriations Collection,"Gillis, J. L. (James Louis), 1857-1917",MC008,0.1 linear feet,,,Correspondence from the files of Legislative and Municipal Reference Librarian J. L. Gillis to and from other universities regarding agricultural education appropriations.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,ark:/13030/c8c53sr5/,English,,L&#39;Amour Lynette &amp; Sidiku Collection,,MC186,,,,"Poetry of Sherman Alexie, Native American author, poet, and film maker.",,2003,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,ark:/13030/c8c82c1f/,English,,Blackwood Press Collection,,D-058,,,,"The Blackwood Press was founded in 1956 by Edmund Simpson, M.D., of Placervile, California. The collection contains pamphlets and botanical prints used as examples of work commissioned to the Blackwood Press.",,1968-1984,Blackwood Press--Archives,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,ark:/13030/c8c82h30/,English,"University of California, Davis Library, Dept. of Special Collections",Tri/Valley Growers Collection,Tri/Valley Growers,D-150,0.2 linear feet,1929-1959,,Twenty oversize panels related to predecessor associations that merged to become Tri/Valley Growers.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,ark:/13030/c8cc12wk/,English,,Brian T. Thompson Collection,,D-306,,,,"Photographs from the Gabriel Moulin Photography Studio in San Francisco. Subjects include street scenes, forests, buildings, advertising art, beach scenes, camping and picnicking, and aerial views, mostly of California.",,1920-1970,null,4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,ark:/13030/c8cc12x1/,English,,Harold Paul Olmo Papers,,D-280,,,,"Papers from his work as a Professor of Viticulture and Enology, University of California, Davis, including correspondence, research files, slides on grape varieties, grape variety reports by county, and materials relating to his activities in symposiums, conferences, and advisory boards.",,1900-2006,"Olmo, H. P. (Harold Paul), 1909-2006",100 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
