,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
633,ark:/13030/c8rr214w/,English,"University of California, Davis Library, Dept. of Special Collections",Sunshine Farm Dairy Records,,D-385;419,6 linear feet,1945-1999,,"The Sunshine Farm Dairy was operated by the Greenough family in Merced, California. The collection contains the records of a working dairy including individual cow records, business and financial records.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,ark:/13030/c8rr25cp/,English,"University of California, Davis Library, University Archives",UC Davis Buttons Collection,"University of California, Davis. Library",AR-119,1.6 linear feet,1985-2002,,Commemorative pin-back buttons from various UC Davis events.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,ark:/13030/c8rr25fk/,English,"University of California, Davis Library, University Archives",Department of Chemistry Records,"University of California, Davis. Department of Chemistry",AR-134,0.4 linear feet,1992-2009,,Correspondence and committee information from the Department of Chemistry.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,ark:/13030/c8rx9hwx/,English,"University of California, Davis. Library, Dept. of Special Collections",Loren W. Neubauer Papers,"Neubauer, L. W. (Loren Wenzel), 1904-",D-109;230,2.8 linear feet,1925-1982,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,ark:/13030/c8sn0ghq/,English,"University of California, Davis Library, University Archives",Mondavi Performing Arts Center Records,Mondavi Center,AR-164,6 linear feet,1995-2003,,"Collection contains records, photos, brochures, programs, video recordings, and memorabilia related to the design, construction, and programming of the Mondavi Center for the Performing Arts.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,ark:/13030/c8sq95vk/,English,"University of California, Davis Library, University Archives",Student Directories,"University of California, Davis. Registrar",AR-086,1.4 linear feet,1941-2008,,UC Davis student telephone directories.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,ark:/13030/c8st7s3f/,English,,Michael and Margaret B. Harrison Western Research Center Accompanying Material Collection,,D-531,,,,"Michael Harrison tucked photographs, newspaper clippings, correspondence, publishers’ advertisements, and other interesting items into the books that he called his &#34;fallout system,&#34; (because items were likely to fall out when one picked up a book). This ephemeral material provides insights about a particular book. These material are now called Accompanying Materials.",,1922-2000,"Harrison, Michael, 1897-2005.",32 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,ark:/13030/c8t43vtk/,English,"University of California, Davis Library, Dept. of Special Collections",Index Seminum Collection,"University of California, Davis. Arboretum",D-025;438,24 linear feet,1965-2015,,"Seed lists from foreign and American arboreta and botanical gardens for studying the development, popularity, and history of horticultural varieties.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,ark:/13030/c8tb18m5/,English,"University of California, Davis Library, Dept. of Special Collections",Glenn M. Loney Papers,"Loney, Glenn Meredith (1928-)",D-006;427,142 linear feet,1800-2017,,"Clippings, correspondence, manuscripts, music ephemera, personal files, photographs, movie stills, playbills, promotional materials, published materials, and scripts. Highlights of this collection are nineteenth and twentieth century programs, items relating music and drama festivals in Europe, and promotional materials pertaining to alternative theatre, especially in New York City.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,ark:/13030/c8tb1f05/,English,"University of California, Davis Library, Dept. of Special Collections",Jordan Fisher Smith Papers on Environmental Writing,"Smith, Jordan Fisher",D-650,12 linear feet,1927-2013,1970-2013,"Correspondence, notebooks, drafts, clippings and one scrapbook documenting Jordan Fisher Smith&#39;s career as a writer and his work with the US Forest Service, the National Park Service, and the California State Parks.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
