,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
4,ark:/13030/c80007w2/,English,,California Historical Quarterly Printing Blocks Collection,,D-160,,,,Printing blocks used in the production of issues of California Historical Quarterly.,,circa 1930-circa 1945,California Historical Society.,9.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ark:/13030/c8057ng1/,English,"University of California, Davis Library, University Archives",University of California Office of the President Records,University of California (System). Office of the President,AR-220,8 linear feet,1883-1991,,Biography/Bibliography and other forms submitted to the University of California Office of the President.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ark:/13030/c8057p22/,English,"University of California, Davis Library, University Archives",University of California Records,University of California (System),AR-102,9 linear feet,1940s-1971,,"Reports, surveys, minutes, and correspondence related to the University of California system and the University of California, Berkeley Agricultural Experiment Station.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ark:/13030/c8086bd2/,English,"University of California, Davis General Library, University Archives",UC Davis Yearbooks,"University of California, Davis. Library. Dept. of Special Collections",AR-096,25 linear feet,1911-2006,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ark:/13030/c80g3scx/,English,"University of California, Davis Library, University Archives",Department of Chicana/o Studies Records,"University of California, Davis. Chicano Studies Program",AR-215,18.1 linear feet,1968-2002,,"Correspondence, minutes, course plans, course materials, commitee reports, department history, and other materials related to the history and operation of the UC Davis Chicana/o Studies Department.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ark:/13030/c80r9vwh/,English,"University of California, Davis Library, University Archives",Campus Recreation Records,"University of California, Davis. Department of Campus Recreation",AR-008,4.4 linear feet,1973-2002,,"Materials from the construction and opening of the Recreation Hall (now Activities and Recreation Center) and photographs of various Campus Recreation programs including: Outdoor Adventures, the Craft Center, and Equestrian Center.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ark:/13030/c80v8kzr/,English,"University of California, Davis Library, University Archives",University of California Cooperative Extension Service Records,University of California (System). Cooperative Extension,AR-103,9.4 linear feet,1918-1995,,"Subject files, reports, correspondence, and publications of the University of California Cooperative Extension Service.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ark:/13030/c8154kbk/,English,,Mississippi Freedom Summer Project Collection,,D-579,,,,"Collection includes newsletters, memoranda, clippings, and press releases related to the Mississippi Freedom Summer Project.",,1963-1970,"Hargreaves, Robert",0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ark:/13030/c8154pt3/,English,"University of California, Davis General Library, University Archives",California Aggie Photographs,"University of California, Davis. Associated Students",AR-200,6 linear feet,circa 1985-2007,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ark:/13030/c8154q7w/,English,"University of California, Davis Library, University Archives",Reprographics Records,"University of California, Davis. Reprographics",AR-045,2 linear feet,1975-1985,,"Programs, announcements, and brochures for campus events such as entertainment, lectures, and ceremonies.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ark:/13030/c81g0sqk/,English,"University of California, Davis Library, University Archives","University of California, Davis Department of Nematology Records","University of California, Davis. Department of Nematology",AR-057,4.2 linear feet,1931-2002,,"Surveys, work reports, publications, reprints, photographs, and slides.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ark:/13030/c81r6sr2/,English,"University of California, Davis Library, Dept. of Special Collections","Victor Herbert Fazio, Jr. Papers","Fazio, Victor H. (Victor Herbert), 1942-",D-265;336,354.6 linear feet,1978-1999,,"Office files, correspondence, photographs, awards, and memorabilia relating to U.S. Representative Victor H. (Vic) Fazio&#39;s more than 20 years in public life. Files on Auburn Dam and closure of McClellan Air Force Base, briefing books on policy decisions, proposals for Sacramento Valley water and flood issues, and details on the evolution of food quality acts are included in the collection.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ark:/13030/c822319d/,English,"University of California, Davis Library, University Archives","University of California, Davis Department of Environmental Science and Policy Records","University of California, Davis. Department of Environmental Science and Policy",AR-171,11 linear feet,1969-1999,,"Committee reports, grant information, publications, and department theses and dissertations.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ark:/13030/c8251rf5/,English,"University of California, Davis Library, Dept. of Special Collections","Special Libraries Association, Sierra Nevada Chapter Records",Special Libraries Association. Sierra Nevada Chapter,D-521;738,3 linear feet,1977-2001,,"Slides, memoranda, diskettes, budgets, flyers forof dinner events, executive board meeting minutes, and issues of the Gold &amp; Silver Gazette, the Sierra Nevada Chapter&#39;s newsletter.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ark:/13030/c83n28wq/,English,"University of California, Davis Library, University Archives",University of California Office of Research Records,University of California (System). Office of Research,AR-154,5 linear feet,1968-1993,,Research proposals and awards.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ark:/13030/c83t9pmg/,English,"University of California, Davis Library, University Archives",UC Davis Health Public Affairs and Marketing Records,UC Davis Health. Marketing and Public Affairs,AR-225,89 linear feet,circa 1970-2010,,"Video recordings of &#34;Pulse&#34; medical TV magazine recordings, other recordings related to the UC Davis Medical Center and UC Davis Health, photographs of the UC Davis Medical Center campus, and related records.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,ark:/13030/c83t9qd6/,English,"University of California, Davis Library, University Archives",Library Loan Department Records,"University of California, Davis. Library",AR-073,3 linear feet,1963-1991,,Circulation statistics and annual reports.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,ark:/13030/c83x8d2n/,English,"University of California, Davis. Library, Dept. of Special Collections",Frank W. Zink Papers on Plant Breeding,"Zink, F. W. (Frank W.), 1923-",D-054,2 linear feet,circa 1950-1990,,"The collection includes field notes, data, draft and published writings, and slides of Frank W. Zink (1923-2001), UC Davis researcher and plant breeder specializing in vegetable crops.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,ark:/13030/c84173wn/,English,"University of California, Davis Library, University Archives","University of California, Davis Directives","University of California, Davis",AR-107,1.8 linear feet,1968-1992,,"Notices to deans, directors, department chairmen, and administrative offices.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,ark:/13030/c8445tng/,English,"University of California, Davis Library, University Archives",Associate University Librarian for Personnel and Budget Records,"University of California, Davis. Library. Administration",AR-017,3 linear feet,1948-1984,,"Budget information, annual and departmental budgets, collections budgets, and worksheets for the UC Davis libraries.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,ark:/13030/c8474hbc/,English,"University of California, Davis Library, University Archives",UC Davis Faculty Collection,"University of California, Davis",AR-081,0.4 linear feet,1922-1981,,Contains records from several past UC Davis faculty.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,ark:/13030/c8474j26/,English,"University of California, Davis Library, University Archives",Gifts and Endowments Records,"University of California, Davis. Development and Alumni Relations",AR-204,16.4 linear feet,1956-1987,,"Correspondence, budgets, reports, minutes, chronological files, and other administrative records related to UC Davis fundraising.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,ark:/13030/c84j0mkb/,English,"University of California, Davis Library, University Archives","University of California, Davis Library Collection Development Department Records","University of California, Davis. Library. Collection Development Dept.",AR-004,15 linear feet,1969-2005,,"Correspondence, shared purchase documents, materials regarding the Northern Regional Library Facility (NRLF).","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,ark:/13030/c84j0n8q/,English,"University of California, Davis Library, University Archives",Department of Dramatic Art Records,"University of California, Davis. Department of Dramatic Art and Dance",AR-105,6.4 linear feet,1964-1989,,"Correspondence, publications, literary productions, and recordings from the Department of Dramatic Art.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,ark:/13030/c84m96s5/,English,"University of California, Davis General Library, Dept. of Special Collections",Northern California Native American Political Activists Collection,"University of California, Davis. Library. Department of Special Collections",D-434;682,20 linear feet,1970-1999,,"Newsletters, publications, and correspondence by and among Native American activists.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,ark:/13030/c84m9brc/,English,"University of California, Davis Library, University Archives",University Farm Alumni Association Records,University Farm Alumni Association,AR-097,1 linear foot,1916-1958,,"Correspondence, minutes, reports, albums, and member information for the University Farm Alumni Association.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,ark:/13030/c84x5fjh/,English,"University of California, Davis General Library, Dept. of Special Collections",Dan E. Parfitt Collection on Plant Collecting and Breeding,"Parfitt, Dan E.",D-647,0.4 linear feet,1915-1988,,"Published works, reports from plant exploration missions, reports on the establishment of new germplasm repositories, and grey literature from agricultural experiment stations in India and Turkmenistan collected by pomologist Dan E. Parfitt.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,ark:/13030/c85144mn/,English,"University of California, Davis Library, University Archives",LGBTQIA Resource Center Records,"University of California, Davis. Lesbian, Gay, Bisexual, Transgender, Queer, Intersex, Asexual Resource Center",AR-226,8 linear feet,1983-2010,,Records related to the activities and programs of the UC Davis LGBTQIA Resource Center.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,ark:/13030/c8542v3w/,English,"University of California, Davis Library, University Archives","University of California, Davis University Relations, Government and Community Relations Records","University of California, Davis. University Relations. Government and Community Relations",AR-056,9 linear feet,1990-1998,,"Subject files, long-range development plans, committee notes, and budgets.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,ark:/13030/c85h7j0h/,English,"University of California, Davis Library, Dept. of Special Collections",Lee H. Watkins Papers,"Watkins, Lee H.",D-084;215,6.4 linear feet,1939-1972,,"Lee H. Watkins (1908-1972) served as an apicultural assistant for the University of California, Davis from 1952-1964. The collection contains correspondence, research notes, and research papers concerning early American beekeeping history. The collection also contains a series of correspondence and poetry from William Everson and articles about and a painting by Henry Miller.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,ark:/13030/c85m6c77/,English,"University of California, Davis Library, University Archives","University of California, Davis, Department of Environmental Design Records","University of California, Davis. Department of Environmental Design",AR-125,2.4 linear feet,1980-2003,,Audio and video recordings of department lectures and events as well as lecture and project slides.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,ark:/13030/c85t3ss9/,English,"University of California, Davis Library, Dept. of Special Collections",Cynthia Brantley Papers,"Brantley, Cynthia",D-514;733,19 linear feet,1966-2002,,Research materials for UC Davis Professor of History Cynthia Brantley&#39;s books and materials from the year Brantley spent in Nigeria (1966-1967).,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,ark:/13030/c85x2bns/,English,"University of California, Davis Library, Dept. of Special Collections",Karla Margaret Andersdatter Papers,"Andersdatter, Karla Margaret",D-049;186,25.4 linear feet,1955-1993,,"Correspondence, poetry, journals, publications, and flyers.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,ark:/13030/c8639w68/,English,"University of California, Davis Library, University Archives","University of California, Davis, Student Housing Office Records","University of California, Davis. Student Housing Office",AR-035,3 linear feet,1927-circa 1960,,"Publications, files, and photographs of residential housing on the Davis campus.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,ark:/13030/c86h4p27/,English,"University of California, Davis General Library, Dept. of Special Collections",Roger Boulton Beverage Label Album,"Boulton, Roger B., 1949-",MC138,1 volume,circa 1940-1960,,"Large-format album of wine, beer, spirits, and soft drink labels.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,ark:/13030/c86q23pk/,English,"University of California, Davis. Library, Dept. of Special Collections",Paul F. Knowles Papers,"Knowles, Paulden F. (Paulden Ford), 1916-1990",D-126,6 linear feet,circa 1950-1980,,"Collection includes collection trip notes, original manuscripts and drafts, and slides and photographs from agronomy professor Paul F. Knowles (1916-1990).","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,ark:/13030/c86q23q1/,English,"University of California, Davis Library, University Archives",CUD: News &amp; Notes of the University Library Collection,"University of California, Davis. Library",AR-092,1.4 linear feet,1964-1997,,Former publication of the University Library.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,ark:/13030/c86q23rg/,English,"University of California, Davis Library, University Archives","University of California, Davis Long Range Development Plans","University of California, Davis",AR-112,1 linear foot,1963-2002,,Long Range Development Plans and Environmental Impact Reports.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,ark:/13030/c87083qc/,English,,"University of California, Davis, General Library, Government Information/Maps Collection on Non-Governmental Organizations",,D-509,,,,"Pamphlets, flyers, and newsletters, mainly pertaining to non-governmental organizations.",,1978-1992,"University of California, Davis. Library. Government Information/Maps Department -- Archives.",28 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,ark:/13030/c87p94w9/,English,"University of California, Davis Library, University Archives",Loren D. Carlson Health Sciences Library Records,Loren D. Carlson Health Sciences Library,AR-218,18.1 linear feet,1956-2009,,"Annual reports, department correspondence, statistics, newsletters, and course materials.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,ark:/13030/c87w6jph/,English,"University of California, Davis Library, University Archives","University of California, Davis Emeriti Association Records",UCD Emeriti Association,AR-074,13.4 linear feet,1970-2017,,"Bylaws, membership information, minutes, newsletters, operational records, of the UC Davis Emeriti Association, as well as master video recordings of oral histories.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,ark:/13030/c87w6jz3/,English,"University of California, Davis Library, University Archives","University of California, Davis Department of Philosophy Records","University of California, Davis. Department of Philosophy",AR-138,1 linear foot,1953-1998,,"Planning, history, and departmental review records for the UC Davis Department of Philosophy.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,Binder containing duplicate information from the review of 1995-1996. Kept in binder to preserve original filing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,ark:/13030/c87w6kbf/,English,"University of California, Davis Library, University Archives",Associate University Librarian for Collections Records,"University of California, Davis. Library. Administration",AR-003,18 linear feet,1949-1982,,"Correspondence, Library Council circulars, reports, memoranda, and publications.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,ark:/13030/c8862pnm/,English,"University of California, Davis Library, University Archives",Department of Music Records,"University of California, Davis. Department of Music",AR-104,2.4 linear feet,1963-2006,,"Program information, course lists, and performance flyers.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,ark:/13030/c88k7fx0/,English,"University of California, Davis General Library, University Archives",Office of the Dean of Graduate Studies Records,"University of California, Davis. Office of Graduate Studies",AR-046,1 computer disc (CD),1948-2014,,"UC Davis Graduate Studies encompasses the nearly 100 graduate and professional programs at UC Davis. The collection includes handbooks, newsletters, promotional materials, clippings, records of statistics and awards, and optical disks with images of commencement ceremonies and other events.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,ark:/13030/c88w3ksf/,English,"University of California, Davis Library, University Archives","University of California, Davis University Club Records","University of California, Davis. University Club",AR-055,14.5 linear feet,1914-2006,,"Ledgers, committee lists, correspondence, meeting minutes, and photographs of past presidents of the club.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,ark:/13030/c88w3mh8/,English,"University of California, Davis Library, University Archives",University of California (System) Division of Agriculture &amp; Natural Resources Records,University of California (System). Division of Agriculture and Natural Resources,AR-172,5 linear feet,1917-1989,,"The Division of Agriculture &amp; Natural Resources (DANR) Records mainly contain photographs and slides, but also include materials on DANR programs and events, UC Davis agriculture-related and natural resource-related departments, and California counties.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,ark:/13030/c89029xw/,English,"University of California, Davis Library, University Archives","Department of Land, Air, and Water Resources (LAWR) Climatological Data for Davis, California","University of California, Davis. Department of Land, Air, and Water Resources",AR-093,1.2 linear feet,1964-2005,,"Sheets of observation data from NOAA Reference Climatological Station maintained by the Department of Land, Air and Water Resources, University of California, Davis.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,ark:/13030/c8930ztp/,English,"University of California, Davis General Library, Dept. of Special Collections",Theodore Dreiser Letter,"Dreiser, Theodore, 1871-1945",MC276,1 folder,20 May 1912,,"Single letter from Theodore Dreiser to &#34;Sara&#34; (possibly Sarah Dreiser, née Sarah Osborne White).","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,ark:/13030/c8959qc2/,English,"University of California, Davis Library, Dept. of Special Collections",Mike Harrison Library Cards and Microfilm,"Harrison, Michael (1897-2005)",D-513,13 linear feet,1981-1997,,"Updates to Harrison Western Research Center library card catalog, master microfilm of catalog records.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,ark:/13030/c89k4jdp/,English,"University of California, Davis Library, University Archives",Office of the Vice-Chancellor of Academic Affairs Records,"University of California, Davis. Office of the Vice-Chancellor--Academic Affairs",AR-166,2 linear feet,1970-1983,,"Academic plans, program descriptions, accreditations, program and department evaluations, and materials related to various campus task forces.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,ark:/13030/c89p3652/,English,"University of California, Davis General Library, Dept. of Special Collections",William J. Mathey Hoof and Mouth Disease Scrapbooks,"Mathey, William J.",MC270,2 scrapbooks,1924-1925,,"William J. Mathey taught at the University of California, Davis School of Veterinary Medicine. The collection includes two scrapbooks of photographs documenting hoof and mouth disease management in the mid-1920s.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,ark:/13030/c89w0mz8/,English,"University of California, Davis Library, University Archives","Librarians Association of the University of California, Davis (LAUC-D) Records",University of California (System). Librarians Association. Davis Division,AR-034,13 linear feet,1978-2009,,"Meeting agendas and minutes, budgets, by-laws, and membership rosters.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,ark:/13030/c8bc41r6/,English,"University of California, Davis Library, Dept. of Special Collections",Chicano Record Collection,"University of California, Davis. Library. Department of Special Collections",D-419;155,8.4 linear feet,1961-1990,,"Long-playing records which feature Chicano music. Artists include Lola Beltran, Yolanda Del Rio, Pedro Infante, Flaco Jimenez, Luis Perez Meza, Augustine Ramirez, and Silvestre Vargas, among others.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,ark:/13030/c8bc45qd/,English,"University of California, Davis Library, University Archives",UC Davis Extension Records,UC Davis Extension,AR-065,7 linear feet,1956-1987,,"Videos of Legal Aspects of Engineering course and of Story Teller Series episodes, as well as University Extension publications, course offerings, and bochures.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,ark:/13030/c8br8vgv/,English,,Albert A. Grigarick Photographs,,D-505,,,,Photographs from Grigarick&#39;s fieldwork and professional travel.,,1957-1992,"Grigarick, Albert A.",0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,ark:/13030/c8br8zxx/,English,"University of California, Davis Library, University Archives",College of Biological Sciences Records,"University of California, Davis. College of Biological Sciences",AR-167,22 KB,1985-2012,,"The collection includes a five-volume record of the 1993 reorganization of the Division of Biological Sciences and materials related to the 2005 creation of the College of Biological Sciences. Collection also includes digital files from Thomas Rost, former Associate and Executive Associate Dean of the College of Biological Sciences.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,ark:/13030/c8bv7pwt/,English,"University of California, Davis Library, Dept. of Special Collections",Postcard Collection,"University of California, Davis. Library. Department of Special Collections",O-001,1 item,circa 1905-2021,,Postcards of Northern California attractions and local scenes as well as postcards related to important historical events.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,ark:/13030/c8c253kc/,English,"University of California, Davis Library, University Archives",Department of History Records,"University of California, Davis. Department of History",AR-211,6 linear feet,1774-1945,,Microfilm of historical documents.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,ark:/13030/c8cc167q/,English,"University of California, Davis Library, University Archives","University of California, Davis Office of Architects and Engineers Records","University of California, Davis. Office of Architects and Engineers",AR-212,14.6 linear feet,1945-2002,,"Collection contains aerial photographs of campus, photographs of campus buildings under construction, and architectural drawings of campus buildings.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,ark:/13030/c8cn79cs/,English,"University of California, Davis Library, University Archives",Roberta Stevenson Collection,"Stevenson, Roberta",AR-070,6.1 linear feet,1966-1999,,UC Davis publications and ephemera.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
